"id","filepath","url","type","brand","description","price","image_url","is_deleted"
"23","Summit Pro Climbing Harness","/products/summit-pro-climbing-harness","Climbing","Zephyr","The Zephyr Summit Pro Climbing Harness is designed for professional climbers who demand the utmost in reliability and performance. Available in a striking orange color,this harness features 30kN rated webbing,speed-adjust buckles,and multiple gear loops for easy organization. With its lightweight design,the Summit Pro Harness offers unmatched comfort and freedom of movement. Reach new heights of confidence with the Zephyr Summit Pro Climbing Harness.","189.99","23_generated_image.png","FALSE"
"24","Ridgevent Stealth Hiking Backpack","/products/ridgevent-stealth-hiking-backpack","Bags","WildRunner","The WildRunner Ridgevent Stealth Hiking Backpack is the ultimate companion for your outdoor adventures. With its stealthy red color,this backpack combines style with functionality. Made from durable nylon and featuring multiple compartments,this backpack offers ample storage space for all your essentials. Whether you're venturing into the mountains or exploring hidden trails,the Ridgevent Stealth Hiking Backpack has got you covered.","69.99","24_generated_image.png","FALSE"
"25","Stealth Lite Bike Helmet","/products/stealth-lite-bike-helmet","Cycling","Daybird","The Daybird Stealth Lite Bike Helmet is designed for cyclists who value both safety and style. With its sleek matte silver color,this helmet will make you stand out on the road. The helmet features a lightweight in-mold construction,adjustable retention system,and multiple ventilation channels for optimal airflow. Stay protected and look cool with the Daybird Stealth Lite Bike Helmet.","89.99","25_generated_image.png","FALSE"
"26","Gravity Beam Climbing Rope","/products/gravity-beam-climbing-rope","Climbing","Gravitator","The Gravitator Gravity Beam Climbing Rope is the perfect companion for vertical endeavors. This high-quality climbing rope features a kernmantle construction,providing excellent strength and durability. With its vibrant yellow color,the Gravity Beam Rope is highly visible and easy to work with. Whether you're tackling steep rock faces or conquering frozen waterfalls,trust the Gravitator Gravity Beam Climbing Rope to get you to the top.","179.99","26_generated_image.png","FALSE"
"27","EcoLodge 45L Travel Backpack","/products/ecolodge-45l-travel-backpack","Bags","Green Equipment","The Green Equipment EcoLodge 45L Travel Backpack is a sustainable and versatile option for all your travel needs. With its earth-inspired green color,this backpack is not only stylish but also environmentally friendly. Made from recycled materials,this backpack features multiple compartments,a padded laptop sleeve,and durable zippers. Explore the world with the Green Equipment EcoLodge 45L Travel Backpack.","129","27_generated_image.png","FALSE"
"28","Alpine Peak Down Jacket","/products/alpine-peak-down-jacket","Jackets","Solstix","The Solstix Alpine Peak Down Jacket is crafted for extreme cold conditions. With its bold red color and sleek design,this jacket combines style with functionality. Made with high-quality goose down insulation,the Alpine Peak Jacket provides exceptional warmth and comfort. The jacket features a removable hood,adjustable cuffs,and multiple zippered pockets for storage. Conquer the harshest weather with the Solstix Alpine Peak Down Jacket.","249.99","28_generated_image.png","FALSE"
"29","Pulse Recon Tactical GPS Watch","/products/pulse-recon-tactical-gps-watch","Navigation","B&R","The B&R Pulse Recon Tactical GPS Watch is a must-have for outdoor enthusiasts. This reliable navigation tool features a built-in GPS,altimeter,compass,and multiple sports modes. With its military green color and durable construction,the Pulse Recon watch is built to withstand your toughest adventures. Stay on track and keep track of your performance with the B&R Pulse Recon Tactical GPS Watch.","169","29_generated_image.png","FALSE"
"30","Zero Gravity Ski Goggles","/products/zero-gravity-ski-goggles","Ski/boarding","Gravitator","The Gravitator Zero Gravity Ski Goggles combine style,performance,and comfort for the ultimate ski experience. With their sleek white frame and red mirrored lenses,these goggles offer a futuristic look on the slopes. The goggles feature an anti-fog coating,100% UV protection,and an adjustable strap for a secure fit. Enhance your vision and carve your way down the slopes with the Gravitator Zero Gravity Ski Goggles.","79.99","30_generated_image.png","FALSE"
"31","Guardian Blue Chalk Bag","/products/guardian-blue-chalk-bag","Climbing","Legend","Stay focused on your route with the Guardian Blue Chalk Bag by Legend. This durable bag features a spacious compartment for your chalk,a drawstring closure,and a waist belt for easy access while climbing. The vibrant blue color adds a stylish touch to your climbing gear.","21.99","31_generated_image.png","FALSE"
"32","Cosmic Purple Snowboard","/products/cosmic-purple-snowboard","Ski/boarding","Gravitator","Conquer the slopes with the Cosmic Purple Snowboard by Gravitator. This freestyle board delivers a perfect balance of control and maneuverability. Its bright purple design is complemented by the Gravitator emblem,sure to turn heads on the mountain.","419.99","32_generated_image.png","FALSE"
"33","Venture Grey Trail Shoes","/products/venture-grey-trail-shoes","Footwear","WildRunner","Hit the trails in style and comfort with the Venture Grey Trail Shoes by WildRunner. Constructed with breathable mesh and a rugged outsole,these shoes provide excellent traction and long-lasting durability. The versatile grey color makes them suitable for any adventure.","79.99","33_generated_image.png","FALSE"
"34","Velocity Red Bike Helmet","/products/velocity-red-bike-helmet","Cycling","AirStrider","Protect yourself while cycling in style with the Velocity Red Bike Helmet by AirStrider. This lightweight helmet features a streamlined design,adjustable straps,and ventilation channels for optimal airflow. Stay safe on the road or trails with this vibrant red helmet.","54.99","34_generated_image.png","FALSE"
"35","Carbon Fiber Trekking Poles","/products/carbon-fiber-trekking-poles","Trekking","Raptor Elite","Hike with confidence using the Raptor Elite Carbon Fiber Trekking Poles. These lightweight and durable poles provide stability on various terrains and reduce strain on your joints. With an ergonomic grip and adjustable length,these poles are a must-have for your outdoor adventures.","99","35_generated_image.png","FALSE"
"36","Excursion 20L Daypack","/products/excursion-20l-daypack","Bags","B&R","The Excursion 20L Daypack by B&R is the perfect companion for your hiking or camping trips. Made from durable waterproof nylon,this spacious pack features multiple pockets,adjustable straps,and a padded back for enhanced comfort. The sleek design and versatile white color make it a stylish choice.","64.99","36_generated_image.png","FALSE"
"37","Stormbreaker Waterproof Jacket","/products/stormbreaker-waterproof-jacket","Jackets","Zephyr","Take on any weather with the Stormbreaker Waterproof Jacket by Zephyr. This jacket offers superior protection with its fully waterproof and windproof design. The bold red color,coupled with the Zephyr logo,adds a stylish touch to your outdoor look. Stay dry and comfortable during your adventures.","139.99","37_generated_image.png","FALSE"
"38","Pathfinder Portable GPS","/products/pathfinder-portable-gps","Navigation","Solstix","Never lose your way with the Pathfinder Portable GPS by Solstix. This compact and reliable navigation device features a color display,preloaded maps,and advanced tracking capabilities. With its intuitive interface and long battery life,you can explore confidently wherever you go.","199","38_generated_image.png","FALSE"
"39","Midnight Blue Goggles","/products/midnight-blue-goggles","Ski/boarding","Daybird","Enhance your snowboarding experience with the Midnight Blue Goggles by Daybird. These goggles offer a wide field of vision,anti-fog coating,and UV protection to keep your eyes protected on the slopes. The sleek design and blue tinted lens add a touch of style to your riding gear.","89.99","39_generated_image.png","FALSE"
"40","EcoTrek Trail Running Shoes","/products/ecotrek-trail-running-shoes","Footwear","Green Equipment","Hit the trails with the EcoTrek Trail Running Shoes by Green Equipment. Designed with eco-friendly materials,these shoes feature a comfortable fit,responsive cushioning,and a durable outsole for optimal grip on rugged terrains. The forest green color is inspired by nature and adds a refreshing touch to your outdoor look.","99.99","40_generated_image.png","FALSE"
"41","Trekker Clear Hiking Shoes","/products/trekker-clear-hiking-shoes","Footwear","WildRunner","The Trekker Clear Hiking Shoes from WildRunner are designed for the adventurous hiker who seeks both comfort and durability. The transparent shoes feature a waterproof and breathable upper fabric,a rugged carbon-infused sole for excellent traction,and a shock-absorbing midsole for enhanced comfort on long hikes.","84.99","41_generated_image.png","FALSE"
"42","Gravity 5000 All-Mountain Skis","/products/gravity-5000-all-mountain-skis","Ski/boarding","Gravitator","Take on any slope confidently with the Gravity 5000 All-Mountain Skis by Gravitator. These skis feature a versatile design that excels in all conditions,from powder to hardpack. They are equipped with a lightweight wood core,carbon inserts for responsiveness,and ABS sidewalls for added durability. These skis come in a striking blue color.","699","42_generated_image.png","FALSE"
"43","Glacier Frost Snowboard","/products/glacier-frost-snowboard","Ski/boarding","Legend","Tame the snow-covered peaks with the Glacier Frost Snowboard from Legend. This high-performance board is constructed with a hybrid camber profile for excellent edge control and superior maneuverability. The board is built with a carbon fiber composite core for lightweight strength and optimal flex,enabling you to take your snowboarding skills to new heights. Available in a cool white color with vibrant frost graphic.","419.99","43_generated_image.png","FALSE"
"44","Summit Pro Climbing Harness","/products/summit-pro-climbing-harness","Climbing","Raptor Elite","Conquer the highest peaks with the Summit Pro Climbing Harness by Raptor Elite. This harness features a lightweight and breathable construction,complete with adjustable leg loops for a personalized fit. It has reinforced tie-in points for maximum safety and durability. The vivid green color adds a touch of style to your climbing gear.","109.99","44_generated_image.png","FALSE"
"45","Elemental 3-Season Tent","/products/elemental-3-season-tent","Trekking","Solstix","Experience the great outdoors with the Elemental 3-Season Tent by Solstix. This lightweight and compact tent is perfect for backpacking adventures. It offers ample space for two people and features a durable waterproof fabric,sturdy aluminum poles,and ventilation panels for optimal airflow. The vibrant green color adds a touch of visibility to your camping setup.","189.99","45_generated_image.png","FALSE"
"46","Zenith Cycling Jersey","/products/zenith-cycling-jersey","Cycling","B&R","Get ready to hit the road with the Zenith Cycling Jersey by B&R. This high-performance jersey is made from moisture-wicking fabric to keep you cool and dry during intense rides. It features a full-length zipper,three rear pockets for storage,and reflective accents for increased visibility in low-light conditions. Available in a vibrant red color.","64.99","46_generated_image.png","FALSE"
"47","Edge Pro Ice Axe","/products/edge-pro-ice-axe","Climbing","Grolltex","Take your ice climbing adventures to the next level with the Edge Pro Ice Axe from Grolltex. This axe features a lightweight aluminum shaft,a durable stainless steel pick,and a comfortable hand grip for maximum control. Perfect for tackling steep ice walls and mixed alpine terrain. The sleek orange color adds a touch of sophistication to your gear.","129","47_generated_image.png","FALSE"
"48","Trailblazer 45L Backpack","/products/trailblazer-45l-backpack","Bags","Zephyr","Take everything you need for your next adventure with the Trailblazer 45L Backpack by Zephyr. This spacious backpack features multiple compartments for easy organization,adjustable shoulder straps and hip belt for a customized fit,and durable waterproof construction for ultimate protection against the elements. The classic yellow color is timeless and versatile.","124.99","48_generated_image.png","FALSE"
"49","Arctic Shield Insulated Jacket","/products/arctic-shield-insulated-jacket","Jackets","Daybird","Stay warm and stylish in the Arctic Shield Insulated Jacket by Daybird. This jacket features a water-resistant outer shell,insulated fill for exceptional warmth,and a detachable hood for added versatility. The sleek pink color is perfect for any outdoor occasion.","169.99","49_generated_image.png","FALSE"
"50","Astro GPS Navigator","/products/astro-gps-navigator","Navigation","AirStrider","Never get lost on your outdoor adventures with the Astro GPS Navigator by AirStrider. This compact and rugged device comes loaded with topographic maps,GPS tracking,waypoint storage,and a long-lasting battery. It is equipped with a high-resolution color display for easy navigation in any lighting condition. Available in a sleek gray color.","249.99","50_generated_image.png","FALSE"
"51","SummitStone Chalk Bag","/products/summitstone-chalk-bag","Climbing","Grolltex","The SummitStone Chalk Bag in forest green is a must-have for climbers seeking adventure. Keep your hands dry and have easy access to chalk with this durable and compact bag. It features a drawstring closure,adjustable waist strap,and a Loop-Slider buckle for easy attachment to harnesses.","29.99","51_generated_image.png","FALSE"
"52","TrailHug 50L Backpack","/products/trailhug-50l-backpack","Bags","Legend","The TrailHug 50L Backpack in navy blue is a perfect companion for all your hiking adventures. Made from lightweight and water-resistant nylon,this backpack features adjustable padded straps,multiple compartments for organized storage,and a breathable back panel for added comfort. It also comes with a handy built-in rain cover for unexpected showers.","129.99","52_generated_image.png","FALSE"
"53","Raven Swift Snowboard","/products/raven-swift-snowboard","Ski/boarding","Daybird","The Raven Swift Snowboard is ready to take you on thrilling rides down the slopes. With its striking white design and black logo,this all-mountain board is perfect for riders of all skill levels. It features a camber profile for stability and pop,and a medium flex for smooth turns and responsive control. Get ready to fly and carve like never before!","349","53_generated_image.png","FALSE"
"54","Nebula Pro Headlamp","/products/nebula-pro-headlamp","Trekking","Gravitator","Illuminate your outdoor adventures with the Nebula Pro Headlamp. Its sleek design and water-resistant construction in neon color make it perfect for night hikes,camping trips,and emergencies. With 500 lumens of bright white light,adjustable brightness modes,and a rechargeable battery,this headlamp will light up the darkness and keep you safe.","59.99","54_generated_image.png","FALSE"
"55","Vigor 2.0 Insulated Jacket","/products/vigor-2.0-insulated-jacket","Jackets","Solstix","Stay warm and stylish on the slopes with the Vigor 2.0 Insulated Jacket in vibrant red. This waterproof and breathable jacket is made with a 2-layer technical shell and features a detachable hood,adjustable cuffs,and multiple pockets for storage. With its modern design and ergonomic fit,it's the perfect outer layer for your winter adventures.","189.99","55_generated_image.png","FALSE"
"56","Traveler's Companion Duffel Bag","/products/traveler's-companion-duffel-bag","Bags","B&R","Whether you're embarking on a weekend getaway or a month-long expedition,the Traveler's Companion Duffel Bag has you covered. Made from durable waxed canvas in earthy brown,this versatile bag features multiple carry options,including shoulder straps and handles,and multiple compartments for organized packing. It even has a padded laptop sleeve,making it great for both adventure and work.","79.99","56_generated_image.png","FALSE"
"57","Ascend XT Trail Running Shoes","/products/ascend-xt-trail-running-shoes","Footwear","Zephyr","Take on any trail with confidence in the Ascend XT Trail Running Shoes in charcoal gray. These lightweight yet rugged shoes offer excellent grip and support,thanks to their durable rubber outsole and advanced cushioning technology. The breathable mesh upper keeps your feet cool when the adventure heats up. It's time to push your limits and conquer the great outdoors.","109.99","57_generated_image.png","FALSE"
"58","VelociX 2000 Bike Helmet","/products/velocix-2000-bike-helmet","Cycling","Raptor Elite","Protect your head in style with the VelociX 2000 Bike Helmet in glossy black. This aerodynamic helmet features an adjustable fit system,detachable visor,and 14 ventilation channels to keep you cool during intense rides. With its sleek design and lightweight construction,it's the perfect choice for road cycling,mountain biking,and everything in between.","79.99","58_generated_image.png","FALSE"
"59","TrailSeeker GPS Watch","/products/trailseeker-gps-watch","Navigation","Quester","Stay on track and explore new trails with the TrailSeeker GPS Watch. With its durable design in stealth black,this watch is packed with features like GPS navigation,heart rate monitoring,and activity tracking. It also offers a long battery life,so you can keep going without worrying about recharging. The TrailSeeker is the ultimate companion for outdoor enthusiasts who love to explore.","149.99","59_generated_image.png","FALSE"
"60","SummitRider Snowboard Boots","/products/summitrider-snowboard-boots","Ski/boarding","WildRunner","Conquer the mountains in style with the SummitRider Snowboard Boots in matte black. These high-performance boots combine comfort,durability,and response to enhance your riding experience. Featuring a heat-moldable liner,dual-zone lacing system,and impact-resistant outsole,they provide a precise and snug fit,ensuring maximum control on any terrain. Get ready to take on the slopes like a pro!","249","60_generated_image.png","FALSE"
"61","Trailblaze Steel-Blue Hiking Shoes","/products/trailblaze-steel-blue-hiking-shoes","Footwear","WildRunner","Explore the great outdoors with the Trailblaze Steel-Blue Hiking Shoes by WildRunner. These rugged and durable shoes feature a steel-blue color,a waterproof membrane,and a high-traction rubber outsole for superior grip on any terrain. The breathable upper keeps your feet cool and comfortable,while the reinforced toe cap adds extra protection. Perfect for hiking,camping,and other outdoor adventures.","129.99","61_generated_image.png","FALSE"
"62","Shadow Black Snowboard","/products/shadow-black-snowboard","Ski/boarding","Daybird","Conquer the slopes with the Daybird Shadow Black Snowboard. This sleek and stylish snowboard features a black colorway,a camber profile for maximum stability,and a medium-flex rating for responsive turns and tricks. Its lightweight construction ensures easy maneuverability,while the sintered base provides excellent speed and durability. Whether you're shredding on groomed runs or exploring the backcountry,this snowboard is designed to deliver peak performance.","379","62_generated_image.png","FALSE"
"63","Razor Climbing Harness","/products/razor-climbing-harness","Climbing","Raptor Elite","Reach new heights with the Raptor Elite Razor Climbing Harness. This lightweight and breathable harness is designed for maximum comfort and performance. With its adjustable waist and leg loops,it offers a secure and customized fit. The razor-shaped webbing adds a stylish touch to the blue color of the harness. Featuring durable construction and reinforced tie-in points,this harness is a must-have for climbers of all levels.","94.99","63_generated_image.png","FALSE"
"64","EcoVenture Olive Green Backpack","/products/ecoventure-olive-green-backpack","Bags","Green Equipment","Embark on your next adventure with the Green Equipment EcoVenture Olive Green Backpack. Made from recycled materials,this sustainable backpack is as eco-friendly as it is functional. It features a spacious main compartment,multiple pockets for organizing your gear,and adjustable padded shoulder straps for comfortable carrying. The olive green color adds a touch of nature to your outdoor excursions.","69.99","64_generated_image.png","FALSE"
"65","Sprint PRO Carbon Cycling Helmet","/products/sprint-pro-carbon-cycling-helmet","Cycling","Solstix","Stay safe while cycling with the Solstix Sprint PRO Carbon Cycling Helmet. This high-performance helmet is crafted from carbon fiber for optimal impact protection and durability. It features an aerodynamic design,adjustable fit system,and ventilation channels to keep you cool on long rides. The rainbow color with the Solstix emblem adds a touch of style to your cycling adventures.","179.99","65_generated_image.png","FALSE"
"66","Compass Pro A-320 Professional Compass","/products/compass-pro-a-320-professional-compass","Navigation","B&R","Navigate with precision using the B&R Compass Pro A-320 Professional Compass. Designed for outdoor enthusiasts and professionals alike,this compass features a liquid-filled housing for accurate readings,a rotating bezel for easy navigation,and a lanyard for convenient carrying. The gunmetal color with white markings ensures clarity and visibility even in low-light conditions. Get ready to explore the wilderness with confidence.","59.99","66_generated_image.png","FALSE"
"67","Venture 2.0 40L Waterproof Duffel Bag","/products/venture-2.0-40l-waterproof-duffel-bag","Bags","Quester","Pack your gear in the Quester Venture 2.0 40L Waterproof Duffel Bag. This versatile duffel bag is made from waterproof nylon material and features taped seams to keep your belongings safe from the elements. It offers a spacious main compartment,external zippered pockets,and adjustable shoulder straps for easy carrying. The vibrant orange color adds a pop of excitement to your outdoor adventures.","79.99","67_generated_image.png","FALSE"
"68","Mens Horizon 80s Softshell Jacket","/products/mens-horizon-80s-softshell-jacket","Jackets","Grolltex","Stay protected from the elements in the Grolltex Mens Horizon 80s Softshell Jacket. Made from a water-resistant and breathable fabric in retro 1980s style,this jacket keeps you dry and comfortable in any weather. It features multiple colors,a detachable hood,adjustable cuffs,and multiple pockets for storing your essentials. Whether you're hiking,skiing,or exploring the city,this jacket combines style and functionality.","169.99","68_generated_image.png","FALSE"
"69","Expedition 200 GPS Navigator","/products/expedition-200-gps-navigator","Navigation","Gravitator","Navigate with confidence using the Gravitator Expedition 200 GPS Navigator. This rugged and reliable navigator features a built-in GPS antenna for accurate positioning,preloaded maps,and a user-friendly interface with intuitive controls. The black color with the Gravitator logo complements the sleek design. With its long battery life and durable construction,this navigator is your ultimate outdoor companion.","299","69_generated_image.png","FALSE"
"70","GripTrek Hiking Poles","/products/griptrek-hiking-poles","Trekking","WildRunner","The GripTrek hiking poles by WildRunner are a must-have for adventurers. With their durable aluminum construction and anti-slip handles,these poles provide stability and support on any terrain. Available in sleek yellow,these hiking poles are perfect for tackling steep inclines and rough trails.","79.99","70_generated_image.png","FALSE"
"71","Explorer Frost Boots","/products/explorer-frost-boots","Footwear","Daybird","The Explorer Frost Boots by Daybird are the perfect companion for cold-weather adventures. These premium boots are designed with a waterproof and insulated shell,keeping your feet warm and protected in icy conditions. The sleek black design with blue accents adds a touch of style to your outdoor gear.","149.99","71_generated_image.png","FALSE"
"72","GravityZone All-Mountain Skis","/products/gravityzone-all-mountain-skis","Ski/boarding","Gravitator","Take your skiing to new heights with the GravityZone All-Mountain Skis by Gravitator. These high-performance skis are designed for precision and control on all types of terrain. The sleek metallic blue design will make you stand out on the slopes while the carbon fiber construction ensures lightweight durability.","699","72_generated_image.png","FALSE"
"73","Omni-Snow Dual Snowboard","/products/omni-snow-dual-snowboard","Ski/boarding","WildRunner","Unleash your snowboarding skills with the Omni-Snow Dual Snowboard by WildRunner. This innovative design combines the maneuverability of a skateboard with the speed and stability of a snowboard. The vibrant red and black color scheme adds a dash of excitement to your snowboarding adventures.","289.99","73_generated_image.png","FALSE"
"74","Apex Climbing Harness","/products/apex-climbing-harness","Climbing","Raptor Elite","Conquer the heights with the Apex Climbing Harness by Raptor Elite. This harness is constructed with high-strength nylon webbing and features adjustable leg loops for a secure and comfortable fit. The sleek white design with a vibrant orange emblem ensures you'll look good while tackling challenging routes.","99.99","74_generated_image.png","FALSE"
"75","TrailTracker Hiking Shoes","/products/trailtracker-hiking-shoes","Footwear","AirStrider","The TrailTracker Hiking Shoes by AirStrider are built to handle any terrain. These lightweight and breathable shoes feature a rugged rubber sole for excellent traction and stability. The cool gray color with green accents adds a touch of style to your hiking ensemble.","89.99","75_generated_image.png","FALSE"
